Rank,Vaccine,Antigenicity_score,Vaxign_score,Developability_score,Immune_score,Docking_score,MD_score,Global_Score
1,Vaccine 4,2.454962910632286,3.758212877792377,3.8672536403657287,5.0,0.4285714285714287,1.6666666666666667,17.175667524028487
2,Vaccine 12,5.0,4.402102496714847,5.0,2.2,0.0,0.0,16.602102496714846
3,Vaccine 7,2.555634051571883,3.6662286465177383,3.833389773112088,4.800000000000001,0.23809523809523803,0.5555555555555556,15.648903264852503
4,Vaccine 8,3.2064641469445423,3.482260183968463,4.536065018625127,3.6,0.0,0.0,14.82478934953813
5,Vaccine 10,2.6333451077357823,3.5742444152430997,3.164578394852692,4.6000000000000005,0.10204081632653061,0.0,14.074208734158104
6,Vaccine 15,0.0,0.0,0.0,4.0,5.0,5.0,14.0
7,Vaccine 14,0.4795125397386091,4.3745072273324555,3.076532339993227,3.4000000000000004,2.142857142857143,0.0,13.473409249921435
8,Vaccine 13,0.36824443659484274,4.999999999999999,3.0663731798171363,0.0,0.7142857142857143,0.0,9.148903330697692
