receptor,vaccine,adjuvant_score,nonadjuvant_score,average_adjuvant,average_nonadjuvant,average_total
8WTA,Vaccine15,-1613.44988154,-1483.70776997,-1548.578825755,-1483.70776997,-1516.1432978625
8WTA,Vaccine16,-1437.75052665,-1433.14337745,-1435.44695205,-1433.14337745,-1434.29516475
8WTA,Vaccine13,-1409.84685791,-1378.8477748,-1394.347316355,-1378.8477748,-1386.5975455775001
8WTA,Vaccine14,-1477.19639812,-1337.16325269,-1407.179825405,-1337.16325269,-1372.1715390475001
8WTA,Vaccine4,-1283.26236992,-1276.43654231,-1279.849456115,-1276.43654231,-1278.1429992125
